N,pair_id,member,p2,p3,p4,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,geometric_mean_logdet,harmonic_mean,minimum_singular_value,inverse_condition_number,low_tail_log_resolvent_lambda_0.02,low_tail_log_resolvent_lambda_0.05,low_tail_log_resolvent_lambda_0.10,low_tail_log_resolvent_lambda_0.20
8,5,A,1.0,1.1206212596895029,1.3078393158541264,1.4619231973090885,0.9362982349529538,0.18700205042576126,1.0543250567729,1.0510612573693654,0.9341363938794885,1.1072036335122835,0.7976933201519798,,,0.8339839247635243,0.6543007683774428,0.18700205042576126,0.12791509893951303,-0.3613133551990834,-0.352283119662704,-0.32300776996084757,-0.23376049227524973
8,5,B,1.0,1.1206212596895029,1.3078393158541264,0.9359735958253389,0.6917727663946043,0.45118730627009607,1.235414096898535,1.2521257204787593,1.313587182558233,1.1072036335122835,0.6295680259583721,,,0.8955641207243683,0.8340918223432354,0.45118730627009607,0.34347724480030417,-0.21993555639664983,-0.21644430898471306,-0.20414110467218277,-0.1572838485868406
8,6,A,0.9999999999999936,1.9442505501032343,4.156695904735031,0.07563145708514901,1.183168171305994,9.663465249905263e-05,2.3485088636419653,0.007612340767917898,0.9604559568893076,0.08660546860152445,0.3858302335439924,,,0.09161179882686046,0.0007612310381842456,9.663465249905263e-05,4.1147237719680486e-05,-3.1734703301979987,-2.6607700260979437,-2.1574539540865993,-1.5242691388231284
8,6,B,1.0,1.9442505501032277,4.156695904735012,0.018411520370181535,1.1832116567332118,0.00019485148376871097,2.3485088636419653,0.011254555663676736,0.9604559568893076,0.1185248507192486,0.38409220290311497,,,0.09148235608901599,0.0015126781409321582,0.00019485148376871097,8.296817047841317e-05,-3.345904336630557,-2.7284932267032698,-2.17029969671652,-1.5244453371509779
8,7,A,1.0,1.1211579689880489,1.3102947803944953,1.077316079066729,0.8244574006967437,1.3163545728823431,0.5207136535741067,1.3013949884642808,0.48945808990475503,1.1953188780592834,0.8909223488249953,,,0.8953471095571132,0.8340476742898325,0.48945808990475503,0.3718284571557478,-0.22042185740442743,-0.21693862466513614,-0.20465875556871438,-0.1578350987618491
8,7,B,1.0,1.1211579689880486,1.3102947803944953,1.1980692706872687,0.8523623985358318,1.423316837028365,0.2604353372494117,1.164430330402352,0.8041500611406224,0.9737314999070487,0.8909223488249953,,,0.862938159136519,0.7406075277552605,0.2604353372494117,0.18297776747526912,-0.2937313104357508,-0.288064131890867,-0.2687280748514606,-0.20185156042624508
8,8,A,0.9999999999999998,1.1787812446004922,1.4830798950804363,0.741340913731155,0.775095894313916,0.8861078885249736,0.2134196576548307,1.525651342872624,1.0206100397106508,1.3633252296216292,0.8893774839606565,,,0.8203740137300454,0.6696605337392714,0.2134196576548307,0.13988756910408268,-0.39449953387214665,-0.3868305574981921,-0.3613089945666897,-0.2784825305613618
8,8,B,0.9999999999999998,1.1787812446004924,1.4830798950804363,0.6656431460975976,0.5107293950278133,1.1268394768648444,0.534080003163785,1.525651342872624,0.7093918510057801,1.2150406141408998,1.197452929518738,,,0.8679834177049778,0.8045580993972526,0.5107293950278133,0.33476154130089075,-0.2824569397961163,-0.27875017519367973,-0.26567722004589445,-0.21577535816320106
8,9,A,1.0000000000000004,1.654972591241665,3.135299993186405,0.710084480530719,0.9241817739521005,2.1632590016985858,0.4038377468921498,0.250491550760318,0.5288335157708037,1.202408889389596,0.10341954975409821,,,0.5583335375601199,0.36675462260069436,0.10341954975409821,0.047807289683248023,-1.1595258746889645,-1.1301770260432065,-1.0477328238650383,-0.8455828392654801
8,9,B,1.0000000000000002,1.6549725912416648,3.135299993186405,0.710084480530719,0.6555575881397581,2.1632590016985858,0.2645780969999348,0.8645173459357116,0.2190236886059525,1.2145600500191809,0.21404548255652278,,,0.5817302423861916,0.4349421988957363,0.21404548255652278,0.09894584161603155,-1.0803332075636003,-1.0640799441832138,-1.0103561882120409,-0.8411592987872822
